"product_id","product_name","price","battery_life","weight","cleaning_mode","warranty_years","stock_availability","user_rating","release_date"
"RB-0001","B938cae8 Cleaner","433.12",2,"2.1","Hybrid",2,"In Stock","4.4","2024-05-23"
"RB-0002","F9a50381 Cleaner","313.89",5,"4.97","Dry",5,"Pre-Order","4.5","2021-01-06"
"RB-0003","0f108cf3 Cleaner","460.66",7,"2.87","Wet",3,"Out of Stock","4.9","2022-06-27"
"RB-0004","Cc3608b0 Cleaner","827.73",6,"3.98","Hybrid",4,"Out of Stock","4.3","2020-11-17"
"RB-0005","8564f42e Cleaner","498.56",9,"4.35","Wet",3,"Out of Stock","4.2","2024-04-25"
"RB-0006","9ff1f8c8 Cleaner","898.52",5,"4.01","Wet",5,"In Stock","4.3","2020-12-07"
"RB-0007","5116dacb Cleaner","928.17",6,"2.53","Dry",1,"In Stock","3.3","2021-09-06"
"RB-0008","538754d6 Cleaner","888.82",3,"4.5","Dry",2,"Out of Stock","3.4","2021-04-06"
"RB-0009","429d2c3f Cleaner","349.38",4,"3.95","Wet",4,"Out of Stock","4.7","2023-12-31"
"RB-0010","3c0e3331 Cleaner","612.85",9,"4.88","Wet",5,"In Stock","4.6","2024-10-18"
"RB-0011","50aca563 Cleaner","299.00",3,"4.45","Hybrid",4,"Out of Stock","4.4","2024-05-08"
"RB-0012","B250b6fd Cleaner","562.67",2,"3.39","Dry",1,"Pre-Order","3.5","2023-05-05"
"RB-0013","0c3457f8 Cleaner","716.93",6,"3.05","Hybrid",3,"Out of Stock","4.9","2022-05-22"
"RB-0014","8334d440 Cleaner","327.23",3,"2.91","Hybrid",4,"Out of Stock","4.7","2021-08-28"
"RB-0015","4b173d31 Cleaner","449.55",9,"3.43","Hybrid",3,"Pre-Order","5.0","2021-12-08"
"RB-0016","3339ee42 Cleaner","537.80",5,"2.39","Dry",2,"Pre-Order","3.8","2021-12-02"
"RB-0017","A3b3034d Cleaner","717.68",5,"4.98","Wet",2,"Out of Stock","3.9","2022-07-28"
"RB-0018","613d40f4 Cleaner","294.24",7,"4.78","Wet",3,"In Stock","3.6","2023-04-10"
"RB-0019","B653feaa Cleaner","436.61",7,"2.98","Dry",2,"Out of Stock","3.2","2022-11-15"
"RB-0020","Dd873d76 Cleaner","210.79",7,"2.59","Dry",4,"Pre-Order","3.4","2020-06-24"
"RB-0021","Ebd553ea Cleaner","503.96",5,"2.57","Dry",5,"Out of Stock","4.1","2020-08-09"
"RB-0022","0ea3bb46 Cleaner","716.27",7,"2.23","Wet",2,"In Stock","4.4","2022-12-07"
"RB-0023","F85faf69 Cleaner","788.53",7,"4.73","Dry",5,"Out of Stock","3.4","2022-05-09"
"RB-0024","D7186c2a Cleaner","474.59",4,"3.84","Hybrid",3,"In Stock","4.8","2023-07-15"
"RB-0025","98fd59a2 Cleaner","667.94",8,"2.23","Wet",3,"Out of Stock","3.2","2021-12-23"
"RB-0026","B3e8e056 Cleaner","762.79",4,"2.87","Hybrid",1,"In Stock","4.2","2022-06-09"
"RB-0027","Db12b667 Cleaner","619.16",7,"4.18","Hybrid",2,"Pre-Order","3.3","2024-12-31"
"RB-0028","2fb77bac Cleaner","839.37",8,"2.62","Wet",5,"Out of Stock","3.0","2022-08-13"
"RB-0029","9425889d Cleaner","863.71",5,"3.88","Dry",3,"In Stock","4.5","2024-08-08"
"RB-0030","D2efdfef Cleaner","751.51",8,"3.12","Hybrid",2,"In Stock","4.2","2022-11-14"
"RB-0031","Cc0033be Cleaner","355.37",8,"2.85","Wet",4,"In Stock","4.6","2021-06-25"
"RB-0032","94af06f6 Cleaner","552.30",5,"4.64","Hybrid",2,"In Stock","3.4","2020-02-18"
"RB-0033","36298004 Cleaner","268.66",2,"2.43","Hybrid",2,"Out of Stock","4.2","2023-10-19"
"RB-0034","840a2415 Cleaner","276.76",6,"4.75","Wet",4,"Pre-Order","4.8","2021-12-12"
"RB-0035","B7104037 Cleaner","470.81",4,"2.38","Hybrid",5,"In Stock","3.0","2022-09-01"
"RB-0036","Ed572423 Cleaner","615.95",9,"2.41","Hybrid",1,"Pre-Order","3.7","2020-05-11"
"RB-0037","47295770 Cleaner","408.77",9,"3.09","Hybrid",5,"Out of Stock","3.9","2025-01-20"
"RB-0038","62d5f6b9 Cleaner","902.53",10,"2.38","Hybrid",2,"Out of Stock","3.0","2024-09-30"
"RB-0039","19a2dc11 Cleaner","542.50",2,"3.74","Dry",4,"In Stock","4.5","2022-06-10"
"RB-0040","9fe8f3e6 Cleaner","549.80",9,"2.43","Wet",1,"Out of Stock","4.6","2022-07-28"
"RB-0041","93cc6984 Cleaner","751.42",5,"2.07","Dry",4,"Out of Stock","3.8","2021-01-03"
"RB-0042","4abd00a9 Cleaner","814.26",8,"2.77","Hybrid",3,"In Stock","3.4","2021-12-17"
"RB-0043","B117bd38 Cleaner","563.92",4,"2.59","Dry",4,"Pre-Order","4.8","2020-11-18"
"RB-0044","128ebd08 Cleaner","828.21",3,"4.77","Dry",5,"Pre-Order","3.5","2022-07-29"
"RB-0045","5ceaf6ef Cleaner","479.70",4,"3.62","Hybrid",3,"Out of Stock","4.4","2023-05-17"
"RB-0046","F382fd65 Cleaner","581.53",10,"4.75","Wet",2,"In Stock","4.8","2021-06-02"
"RB-0047","F6380428 Cleaner","285.81",4,"4.59","Dry",2,"Out of Stock","3.4","2021-05-07"
"RB-0048","33a16918 Cleaner","631.55",7,"2.1","Dry",3,"Out of Stock","4.0","2021-09-13"
"RB-0049","C75c498a Cleaner","880.32",3,"2.42","Hybrid",4,"In Stock","4.2","2024-07-10"
"RB-0050","964f0c28 Cleaner","716.75",3,"3.12","Dry",2,"In Stock","4.6","2023-04-23"
"RB-0051","8b61bcc1 Cleaner","923.27",3,"3.66","Hybrid",2,"Out of Stock","3.2","2021-06-10"
"RB-0052","Ccb3987d Cleaner","707.98",5,"4.47","Hybrid",2,"Out of Stock","3.1","2020-03-08"
"RB-0053","F8d598b4 Cleaner","484.80",5,"3.21","Dry",2,"Pre-Order","4.3","2020-07-30"
"RB-0054","F0e23932 Cleaner","261.24",5,"3.13","Hybrid",5,"In Stock","3.3","2021-04-11"
"RB-0055","E97cf134 Cleaner","398.21",8,"3.86","Hybrid",3,"In Stock","3.3","2021-01-26"
"RB-0056","85c1b70c Cleaner","583.65",6,"2.57","Dry",4,"Out of Stock","4.7","2022-12-20"
